epoch,train_loss,val_loss
1,0.0771617562579566,0.1888520088791847
2,0.06756000859725958,0.17114488482475282
3,0.06490985672362931,0.23446072101593018
4,0.06383062095742667,0.1862829038500786
5,0.058743785154279735,0.17197343200445175
6,0.06004157256068864,0.25712859869003296
7,0.05797623899966849,0.1708761063218117
8,0.05824546504716417,0.18017284095287323
9,0.056616775822076075,0.15337910503149033
10,0.05542591847281425,0.1524345776438713
11,0.05496900703280339,0.14019888788461685
12,0.05615777765085294,0.15754181057214736
13,0.05349450084661362,0.15547036677598952
14,0.05399197882720608,0.20046439677476882
15,0.05429440782897351,0.1564334636926651
16,0.05211374783613294,0.17831749349832535
17,0.05489134063719569,0.13081016436219214
18,0.053284285885895774,0.15521955996751785
19,0.052340828151103955,0.21514840871095658
20,0.05394028923001243,0.2624817943572998
21,0.056633547253285794,0.1418874019384384
22,0.05190122486739446,0.17076316833496094
23,0.05189149276139328,0.13665140360593797
24,0.05051497294677636,0.15226092606782912
25,0.05159551005900005,0.17504780381917953
26,0.0513928732101795,0.13209039241075515
27,0.049712964244161474,0.1845777940750122
28,0.05113128641885104,0.14438806027173995
29,0.050650969959441586,0.14042047291994095
30,0.04935382993912661,0.14976149931550026
31,0.04879524972283597,0.19039783686399459
32,0.050505324714899005,0.16266181617975234
33,0.05021241062194707,0.14302853882312774
34,0.04929552311093222,0.22500696450471877
35,0.04924435617867303,0.13876889780163765
36,0.048407372544002576,0.12741893738508225
37,0.04835733162800011,0.1681049260497093
38,0.04777324784096015,0.12633244201540947
39,0.046688898885478614,0.12061550945043564
40,0.04762036503117522,0.19754989743232726
41,0.0489984586341294,0.1384328518807888
42,0.04908683055474316,0.1682838925719261
43,0.04745002083545937,0.16641098499298096
44,0.04713914976860339,0.13294757932424545
45,0.04754079344424142,0.13148044407367707
46,0.04618849757925561,0.19334985673427582
47,0.04700255810023394,0.1439717960357666
48,0.0474842590135205,0.14290386766195298
49,0.0465584844947523,0.174425408244133
50,0.04628184407030163,0.15819277748465538
