epoch,train_loss,val_loss,val_mae
1,1.8643819081226525,34.54004112243652,200.65921875
2,1.1316548035360519,23.78665855407715,164.07359375
3,1.1127624143721158,29.857593688964844,173.52296875
4,1.0924269526655712,35.81401435852051,227.44171875
5,1.0687948329510522,274.5782916259766,616.571640625
6,1.0571736459283614,57.40883529663086,274.877578125
7,1.0494596250429093,408.47632202148435,771.06453125
8,1.0229803504436044,13.36144199371338,111.601796875
9,1.0285549167315897,830.903603515625,1122.794921875
10,1.0076852084794248,128.25433685302735,405.133359375
11,1.0047632868251568,55.39779830932617,283.49328125
12,1.0128271171475902,320.97245727539064,710.447890625
13,0.9844942970115559,90.12733703613281,364.754296875
14,0.9753487503374514,4.242571277618408,56.75796875
15,0.9894281287053776,62.30530578613281,284.36234375
16,0.9825334372371849,15.940296173095703,138.436953125
17,0.9754499707930189,508.8773986816406,852.835390625
18,0.9805035300451819,169.52448486328126,471.42
19,0.954477392410591,130.11962463378907,417.16109375
20,0.9924052723166246,230.59689453125,548.258203125
21,0.9828589290756227,43.31854385375976,221.364375
22,0.9738765968772405,355.5059338378906,681.005
23,0.9693743241418411,2.8776291513442995,47.42859375
24,0.9665568070392399,113.07269989013672,362.25609375
25,0.9686210788588493,49.32819465637207,230.75390625
26,0.9748088316756344,138.70847045898438,386.713359375
27,0.94999387056101,37.92522674560547,192.603125
28,0.9527201696955027,55.18839691162109,258.757890625
29,0.9384035095235715,23.777110290527343,172.7965625
30,0.9550272918751385,19.64768295288086,132.87359375
31,0.9336545171314942,63.49301742553711,253.081953125
32,0.946772909657865,130.84120666503907,409.16296875
33,0.9707597451776812,126.89939331054687,384.79140625
34,0.9562625457554047,476.545400390625,806.55609375
35,0.9292461068329052,12.74348804473877,96.429921875
36,0.9380524853825919,40.76475090026855,206.196640625
37,0.9484009692069796,7.6825932693481445,87.681640625
38,0.9260352240821749,6.636734867095948,76.926875
39,0.9393494583246266,23.639393997192382,177.18765625
40,0.938034144753119,22.226101837158204,179.136953125
41,0.9393727229046279,6.039677906036377,72.7428125
42,0.9323139840081345,6.817466430664062,73.4490625
43,0.9239925577812386,2.5735772323608397,44.237890625
44,0.9282395304048121,3.4028277015686035,50.9775
45,0.9246445439656071,43.90248077392578,249.911640625
46,0.9335404736991348,229.72361755371094,475.218515625
47,0.9385766557088956,50.579453125,288.8853125
48,0.9260751811152228,26.31934028625488,189.72921875
49,0.9352887651797621,32.16829742431641,224.29328125
50,0.9181279095638452,40.52747650146485,241.51375
